Time (days),Cover Temperature (C),Internal Air Temperature (C),Vegetation Temperature (C),Growing Medium Temperature (C),Tray Temperature (C),Floor Temperature (C),Soil Layer 1 Temperature (C),Soil Layer 2 Temperature (C),Soil Layer 3 Temperature (C),Soil Layer 4 Temperature (C),Vegetation Mean Temperature (C),Vegetation Temperature Sum (C),Water Vapour Density (kg/m^3),CO2 Density (kg/m^3),Carbohydrate in Buffer (kg/m^2),Carbohydrate in Fruit (kg/m^2),Carbohydrate in Leaf (kg/m^2),Carbohydrate in Stem (kg/m^2),Relative Growth Rate of Fruit (1/s),Relative Growth Rate of Leaf (1/s),Relative Growth Rate of Stem (1/s)
0.0280555555555555,9.263999537754389,10.707059364991837,11.21120754726627,11.384902004074036,11.582676218012692,11.890419174926537,11.954170379040022,11.998415172629166,11.98165490278518,11.008269861992744,285.14448205382126,0.3311399603111456,0.0091282979609887,0.0007658650213814,0.009833731924968,0.0010011608055435,0.0100683842061415,0.0100545058101517,4.824714633507799e-07,2.792449810156305e-06,2.228436879454316e-06
0.0280671296296296,9.263883878118804,10.70682587533878,11.21075301615599,11.384560255802969,11.582405660999484,11.890343946892417,11.95411275558439,11.998410001578634,11.981647578494858,11.008273245699456,285.1444729858012,0.3312697173104556,0.0091281879951242,0.0007658664391722,0.0098336635585763,0.0010011612885791,0.0100684123206416,0.0100545282157905,4.824724557737511e-07,2.7924242656121185e-06,2.228418209585988e-06
0.0280787037037037,9.263768229206107,10.70659244310167,11.210298640791107,11.384218560124737,11.582135165930197,11.890268722199608,11.95405512514526,11.998404825236264,11.981640254331126,11.008276629383545,285.1444639126257,0.3313994690489553,0.0091280780621642,0.0007658678559195,0.0098335951925877,0.0010011617716159,0.0100684404349545,0.0100545506212909,4.824734461312656e-07,2.79239871025492e-06,2.2283995321270568e-06
0.0280902777777777,9.263652590492145,10.706359067762946,11.209844421170828,11.383876917070836,11.581864732815632,11.890193500837086,11.953997487743322,11.99839964360143,11.981632930293811,11.008280013044896,285.14445483429665,0.331529215528423,0.009127968162338,0.0007658692716236,0.0098335268270024,0.001001162254654,0.0100684685490799,0.0100545730266529,4.824744344244061e-07,2.7923731440829717e-06,2.228380847080391e-06
0.0281018518518518,9.263536961452814,10.706125748804991,11.209390357294184,11.383535326672812,11.581594361666646,11.890118282793708,11.953939843399269,11.99839445667385,11.981625606382806,11.008283396683566,285.14444575081575,0.3316589567506369,0.0091278582958749,0.0007658706862848,0.0098334584618207,0.0010011627376932,0.0100684966630179,0.0100545954318763,4.82475420654255e-07,2.792347567094533e-06,2.228362154448859e-06
0.0281134259259259,9.26342134156397,10.705892485710253,11.208936449160433,11.38319378896233,11.58132405249404,11.89004306805839,11.953882192133676,11.998389264452952,11.981618282598047,11.0082867802995,285.144436662185,0.3317886927173752,0.009127748463004,0.0007658720999034,0.0098333900970428,0.0010011632207336,0.0100685247767683,0.0100546178369611,4.824764048218949e-07,2.7923219792878664e-06,2.228343454235331e-06
0.028125,9.263305730301454,10.705659277961049,11.208482696768613,11.382852303970878,11.581053805308557,11.889967856620046,11.953824533967293,11.998384066938286,11.981610958939427,11.008290163892696,285.14442756840606,0.3319184234304162,0.0091276386639547,0.0007658735124796,0.009833321732669,0.0010011637037752,0.0100685528903309,0.0100546402419071,4.824773869284084e-07,2.7922963806612324e-06,2.2283247464426743e-06
0.028136574074074,9.263190127141172,10.705426125039878,11.20802910011787,11.38251087173012,11.580783620121052,11.88989264846765,11.953766868920807,11.998378864129393,11.98160363540677,11.00829354746321,285.14441846948097,0.3320481488915382,0.0091275288989563,0.0007658749240138,0.0098332533686996,0.001001164186818,0.0100685810037058,0.0100546626467144,4.82478366974878e-07,2.792270771212892e-06,2.228306031073759e-06
0.0281481481481481,9.26307453155897,10.705193026429072,11.20757565920735,11.382169492271489,11.580513496942274,11.889817443589948,11.95370919701486,11.99837365602582,11.98159631200008,11.008296931011046,285.14440936541143,0.3321778691025195,0.0091274191682379,0.0007658763345062,0.0098331850051348,0.001001164669862,0.0100686091168927,0.0100546850513828,4.824793449623862e-07,2.7922451509411063e-06,2.228287308131454e-06
0.0281597222222222,9.26295894303064,10.704959981611124,11.207122374036205,11.381828165626589,11.580243435783077,11.889742241976023,11.953651518270078,11.998368442627168,11.981588988719125,11.008300314536145,285.14440025619933,0.3323075840651383,0.0091273094720289,0.0007658777439572,0.0098331166419748,0.0010011651529072,0.0100686372298917,0.0100547074559122,4.824803208920155e-07,2.792219519844137e-06,2.228268577618628e-06
